address,area,bath,bed,city,description,garage_space,price,property_type,sqft,state,taxes_2015,taxes_2016,taxes_2017,taxes_2018,taxes_2019,year_built,zip
22429 N 31st Dr,Phoenix,2,4,Phoenix,"Absolutely gorgeous renovated home in North Phoenix with a pool! This home was previously owned by a contractor who remodeled EVERYTHING from head to toe so you win a new home for an existing price. NEW EVERYTHING!!! Open kitchen, all tile bathrooms, large quartz countertops, all matching GE appliances, lots of brand new cabinet space, winning front & back landscaping with huge patio space for year-round entertainment. LARGE corner lot with a HUGE park!",2,339000,Single Family Home,1515,AZ,1020,1143,1211,1254,1299,1994,85027
2645 W Corva Dr,Phoenix,4,4,Phoenix,"Unbelievable corner lot property is now on the market in desirable Phoenix. This home has it all. Starting with 10' ceilings, RV gate, 3 car garage, and Casita with separate entrance. Living is easy in this luxurious interior complete with 4 bed plus den, 4 bath, living/dining area, splendid light fixtures throughout, and designer paint. Practice your cooking skills in this dreamy eat-in kitchen offering lovely pendant lighting, pantry, granite counter-tops, island with sink & breakfast bar, back-splash, and stainless steel appliances. Inside this master bedroom you will find a private exit and lavish en-suite bath with dual sinks and walk-in closet. Amazing backyard with mini-golf, covered patio, built-in BBQ, and sparkling pool is ready to enjoy. Look no more. Call today!",3,565000,Single Family Home,2707,AZ,276,289,305,3195,3310,2016,85085
4849 N 80th Ave,Phoenix,2,4,Phoenix,"Gorgeous remodel thru entire house, fresh neutral color paint in and out, beautiful tile throughout, brand new kitchen cabinets, new dual pane windows, great open floor plan, complete bathrooms remodel with a nice modern touch, huge back yard with rv gates on both sides and the most important great location near to freeways and shoping centers like west gate, cardinals stadium and more.",2,278900,Single Family Home,1856,AZ,880,954,999,1047,1002,1978,85033
3829 W Thunderbird Rd,Phoenix,3,5,Phoenix,Former care home. Spacious 5 bed 3 bath with appliances and large backyard. Great opportunity for anyone.,,270000,Single Family Home,2450,AZ,1277,1877,1753,1762,1810,1972,85053
3418 W Sunland Ave,Phoenix,3,5,Phoenix,"5 bedroom house with a loft.. 5th room was added with a interior wall in loft area. Large kitchen, Large backyard. New carpet, newly painted. Listing broker is also managing partner of seller as owner/agent",2,295000,Single Family Home,2230,AZ,1621,1722,1811,1900,1953,2006,85041
4817 W Leodra Ln,Phoenix,2,3,Laveen,"Gorgeous, highly upgraded home in the exclusive gated community of Via Sonora in Laveen! This home has only had one owner and the pride of ownership is abundant throughout! Lovely eat in kitchen, boasting oversized cabinets, spacious island with stylish pendant lighting. Walk-in pantry is accessed through a modern barn door. Gas range! The sizeable great room is wired for surround sound. Wired CAT 5 outlets in office closet, living room and master bedroom. Gorgeous tile. Floor to ceiling patio slider with honeycomb shade. The backyard was built for entertaining, with covered patio, manicured grass, pavers and a fire pit. Plenty of storage, under the stairwell and overhead shelves in the garage. Community Clubhouse, wide open Common area and a playground for the kids! You'll love it here!",2,300000,Single Family Home,1853,AZ,165,171,180,2082,2189,2017,85339
1811 E South Fork Dr,Phoenix,2.5,4,Phoenix,"VIRTUAL TOURS ONLY - See Link in photo section. Beautiful home in the Ahwatukee Foothills. Spacious and open, custom flooring throughout, high end stainless steel appliances, built in refrigerator. Fabulous granite bar overlooking family room. Large bedrooms, master includes sitting area large soaking tub, walk in shower and a custom built master closet. Backyard features full length covered patio and two more sitting areas with fire pit. Built in BBQ, lush landscaping including fruit trees.",3,595000,Single Family Home,3044,AZ,4112,4581,4543,4742,4894,1989,85048
2902 S 80th Ave,Phoenix,3,3,Phoenix,"Excellent opportunity to own a very spacious home in Phoenix. Featuring 3 bedrooms, 3 bathrooms, upstairs loft and awesome backyard with a pool for those hot summers. Make your appointment right away",2,280000,Single Family Home,1921,AZ,986,1102,1117,1190,1284,2005,85043
1626 E Glenrosa Ave,Phoenix,1,1,Phoenix,Fixer upper with great potential. Centrally located within 2 miles of Biltmore Fashion Park. Lots of exterior and interior storage space. Covered Garage. Agent is related to the Seller.,1,249500,Single Family Home,768,AZ,832,895,928,978,1004,1945,85016
6532 W Magnolia St,Phoenix,2.5,4,Phoenix,"This beautiful 2-story gem in Tolleson is sure to impress. Located in the well maintained and sought after subdivision of Arizona Meadows this beauty has a lot to offer. Has a new AC Unit, fresh neutral color paint throughout and tile flooring through all the main living & walking areas. Your new kitchen offers tile backsplash, island with breakfast bar, pantry, and tons of cabinet storage space. Master has large living area & the master bath offers a garden tub, separate shower, private toilet room, & walk in closet. The back yard is enormous and boasts easy to maintain landscaping, covered patio, & room to relax, play, entertain, or even add that future swimming pool or spa. You don't want to miss out on this beauty so hurry and come take a look before it's gone!",2,300000,Single Family Home,2059,AZ,948,1060,1074,1145,1234,2005,85043
6606 W Miami St,Phoenix,2,3,Phoenix,"Great single story, 3 bedroom 2 bath home with a den. All appliances convey..Close to the new 202, which makes getting everywhere in the valley that much quicker! Close to shops, restaurants, and quickly expanding city of Laveen.",2,250000,Single Family Home,1725,AZ,994,1084,1140,1219,1234,2003,85043
2515 N 52nd Dr,Phoenix,2,3,Phoenix,Amazing investment opportunity - popular 3 bedroom/2 bath floorplan with spacious eat-in kitchen and an added 385 sf bonus room! Large indoor laundry and storage room. HUGE oversized cul-de-sac lot with an 864 sf detached garage and diving pool. Bring your best designs and turn this house into a home!,,199000,Single Family Home,1713,AZ,1025,1099,1149,1188,1142,1963,85035
6601 S 21st Pl,Phoenix,2,4,Phoenix,"NICE 4 BEDROOM 2 BATH HOME.(4TH BEDROOM IS ENCLOSED CARPORT)NEWER A/C UNIT, NEWER SHINGLE ROOF, NEWER WATER HEATER, HOME HAS 18'' TILE FLOORING IN TRAFFIC AREAS AND CARPET IN ALL BEDROOMS. UPDATED KITCHEN WITH NICE COUNTER TOPS AND BLACK APPLIANCES. NEWER CABINETRY. UPDATED BATHROOMS AND NICELY TILED SHOWERS, HOME HAD NEW PLUMBING BEFORE BUYER PURCHASED. HOME HAS CEILING FANS IN ROOMS. BACK YARD HAD BLOCK FENCE FOR PRIVACY. HOME IS PERFECT FOR FIRST TIME HOMEOWNER. CLOSE TO SOUTH MOUNTAIN COMMUNITY COLLEGE AND OTHER SCHOOLS, CLOSE TO SHOPPING AND RESTAURANTS",,215000,Single Family Home,966,AZ,15,11,7,8,8,1960,85042
8239 N 29th Dr,Phoenix,1.5,4,Phoenix,"This property offers 4 bedrooms 1.5 bathrooms, lots of parking and a big covered patio in the back yard. Come put your personal touches on this house and make it your home. Schedule your appointment today! Se habla espanol",,199999,Single Family Home,1774,AZ,566,611,622,1310,1345,1953,85051
3608 W Rancho Dr,Phoenix,2,2,Phoenix,"Charming 1958 block home on a great lot with tons of potential.  Close to Grand Canyon University! Bathrooms and plumbing recently redone, newer windows and roof within the past few years.",,210000,Single Family Home,1092,AZ,505,532,557,563,615,1958,85019
29350 N 22nd Ave,Phoenix,2.5,3,Phoenix,"Fireside at Norterra! Nestled in Dixie Mountain Range foothills w/ hiking trails at end of street! Move-in ready, open living rm, laundry rm w/ storage, kitchen w/ stainless steel appliances, gas range, cabinets w/ sliding shelves. Walk-in closet in Master. 2-car garage w/ storage cabinets & workbench. Appliances included. Amenities include resort style rec center w/ lap pool, fitness center, indoor climbing wall, tennis courts & more!",2,317000,Single Family Home,1655,AZ,1312,1470,1824,1886,1947,2008,85085
18044 N 32nd Ln,Phoenix,2,3,Phoenix,"Great Home in Phoenix, 3 bed 2 bath with 2 Car Garage. Tenant has lease till 12/31/2020 lease price is $1, 099. This is a great investment home or a fantastic place to move into. Does not come with was",2,225000,Single Family Home,1160,AZ,655,731,770,796,822,1978,85053
12246 N 23rd St,Phoenix,2,3,Phoenix,"Charming one-story home in a great location near schools, parks, Piestewa Peak Freeway 51, dining, entertaining, and much more! This 3 bedroom 2, bath home features an extended driveway, carport, large covered front entrance, NO HOA, and easy to maintain desert landscaping. The home also includes NEW flooring throughout, newly interior paint, a spacious family room with a brick fire place, sliding doors and a spacious kitchen. The kitchen includes plenty of cabinetry space, large pantry, a built in microwave and a great view to the frontyard! The backyard is great for entertainment with an extended patio, fire pit, storage shed and so much more!!",,285000,Single Family Home,1214,AZ,759,818,831,870,903,1962,85022
2369 Fairview Ave E,Seattle,2,4,Seattle,"Fairview Landing // On one of Lake Union?s most desirable docks, this classic two-story with basement craftsman floating home showcases a merging of signature Seattle style with contemporary and elegant finishes throughout. Great room floorplan framed by Nana walls and designer kitchen with full dining room are a chef's delight. Vaulted master suite with built-in closets and step out deck. Panoramic rooftop affords west-facing views from Gasworks Park, to the Olympics, and Seattle Skyline.",,3450000,Single Family Home,2150,WA,,,,,,,98102
1808 Minor Ave Unit 701,Seattle,1,1,Seattle,"This is the one! Enjoy summer on your private sunny deck and through your south facing floor-to-ceiling windows. Enter from a hallway shared with just 2 other units to a well-designed one-of-a-kind layout that lives large w/ taller ceilings than other floors. Plus you?re only steps away from 7th floor amenities (work lounge, fitness center, pet lounge) and a quick ride up to incredible views + perks at the Skyclub. Comes w/EV parking spot. Building is pet friendly. Brand new furnishings avail.",,558600,Condo/Townhome/Row Home/Co-Op,456,WA,,,,,,,98101
High Point ,Seattle,3,4,Seattle,"Welcome to the Tiberon at High Point by Lennar Seattle.. This stunning three-story home has been beautifully appointed for easy entertaining and relaxing living. From the welcoming covered front porch, the lowest level features not only a tucked away study, perfect for a quiet reading or writing room, and also a large den with big windows on the opposite end of the floor. On the main living area is an open island-kitchen with covered deck, corner great room and a main floor bedroom and bath. Upstairs are two additional bedrooms and a large homeowner's suite with walk-in closet and en-suite bath with his and her vanities.Every home at High Point by Lennar Seattle is built with Everything's Included. Meaning all the bells and whistles are simply included to make for the very best home buying experience. Features like Smart Home Automation, gleaming flooring and stainless appliances are included at no extra cost!",,rom ,Single Family Home,2074,WA,,,,,,,98126
4442 S 19th St,Phoenix,1,3,Phoenix,3 bedroom 1 bathroom home with a lot of potential. Home is on a large lot with option to put RV gates. Seller prefers buyer to complete repairs but will consider concession on strong offer.,,170000,Single Family Home,909,AZ,288,306,283,304,313,1949,85040
8812 20th Ave NE Apt A205,Seattle,1,1,Seattle,"Magnificent Maple Leaf condo with direct unit access. Updated with bamboo flooring and newer stainless steel appliances. Great commuting location, minutes from UW, Greenlake, Northgate, and future light rail stations. Direct bus line to Downtown Seattle & quick access to I5. Open floorplan, balcony, fireplace, and separate storage unit in basement. Strong HOA, well-managed & maintained building. Offstreet parking.",,275000,Condo/Townhome/Row Home/Co-Op,665,WA,,,,,,,98115
210 19th Ave Unit A,Seattle,1,2,Seattle,"Well-appointed end unit row house has been tastefully updated to reflect a classic home. Bright and airy open floor plan features a kitchen w/white cabinetry, black marble counters and breakfast bar. 2nd floor hosts 2 bedrooms, laundry, updated bathroom and access to attic storage. In 2018 crown molding, all new lighting, flooring and windows were installed and storage areas were increased. Private patio, 2 parking spaces and shared lawn make this a wonderful place to call home, move in ready!",,498500,Condo/Townhome/Row Home/Co-Op,800,WA,,,,,,,98122
1321 Seneca St Apt 1204,Seattle,1,1,Seattle,"First Hill/Capitol Hill?s newest concrete and steel condos! Featuring 9 ft ceiling, central A/C and the finest of finishes. Automated shades and California closets. Luxury rooftop amenities include: expansive terrace, jetted pool, fireplace lounge, private dining room and chef?s kitchen. Plus fitness center (2nd fl) and pet lounge (1st fl). The neighborhood abounds with the hippest bars, restaurants and shopping. Close to light rail and freeway. Whole Foods Market 2 blocks away. Walkscore 99.",,565000,Condo/Townhome/Row Home/Co-Op,648,WA,,,,,,,98101
917 17th Ave,Seattle,2,5,Seattle,"Your Turnkey 11% ROI @ Seattle University: 1911 Craftsman 5 Premium Bdrm's. Zero vac 5+ yrs: Sept 2020 $5300/m, 2019 $5260/m, 2018 $4716/m, usually grad students by word of mouth. Mint cond woods, all re-plumb & re-wire, new heat 2018, etc. BR-1 orig heavy doors, BR-2 priv lave, BR-4 priv powder, BR-5 Studio Apt 2nd kit & bath. (No sign) sited by back alley w/other fine hm's. Same $ as duplex triplex w/ less upkeep & get 3.25% loan. (Add BR's to garage? Now $260/m storage.) More Info in flyer.",,950000,Multi-Family Home,2290,WA,,,,,,,98122
7700 37th Ave SW Unit B,Seattle,1,1,Seattle,"Brand New Modern Stand Alone Home in the Beloved Gatewood Neighborhood of West Seattle! Beautifully and thoughtfully designed to maximize spaciousness and efficiency. Open lower level with living room, kitchen with bar seating, and storage. Upper level Owner's retreat with walk-in closet, massive en-suite bathroom, and laundry. Incredible location close to Lincoln Park, shops, grocery & restaurants. Home equipped with AC! Off-street parking pad.",,459000,Single Family Home,792,WA,,,,,,,98126
420 W Crockett St,Seattle,2,2,Seattle,Torn between a house or condo? Why not have the best of both worlds?! Just 4 homes comprise this delightful community in the heart of Top-of-Queen Anne. This Walker's Paradise delivers something fun to discover within a few blocks in ANY direction. SE-facing top-floor corner unit lives graciously with an en-suite master plus a large 2nd bedroom & bath. Save your dining area for actually dining---you can set up your home office in the bright nook off the living room. Special!,,720000,Condo/Townhome/Row Home/Co-Op,1108,WA,,,,,,,98119
1102 N 2nd St Unit A,Philadelphia,2,3,Philadelphia,"FALL 2021 DELIVERY! Welcome to North Liberty Triangle, a modern and luxurious new construction community located in the heart of Northern Liberties. This community offers various amenities including a landscaped courtyard, on-site retail, and a private fitness center. The 1102 Unit A, Avenue View floor plan, located on the sixth floor of the East Building, is a flat style open concept floor plan located at 1102 N 2nd St. This new construction condo features 3 Bedrooms and 2 Baths, modern finishes, and a carefully designed layout. Walk in to your kitchen area where you will find your designer gourmet eat-in kitchen that features a large island that comfortably seats between three and four people. Entertain and lounge in your living area which features a large balcony, adding a touch of luxury and scenic views right from the comfort of your home. Balconies add natural light to a living spaces and the sliding doors are great letting in a breeze during cooler temperatures and this unit includes two of them! This condo includes a laundry and mechanical closet featuring a laundry hook up. Buyers can choose to upgrade their home to include a stainless steel washer and dryer with their purchase. Additionally, this condo includes private 3 bedrooms on each end of the home with their own bathroom. The Master Bedroom includes a large walk-in closet and a Master Bathroom featuring designer tile and a walk-in shower. HOA/CONDO & TAXESARE ESTIMATES ONLY | This home is under construction! Photographs shown are of recently completed homes by the builder and are not actual photographs of the units listed. Photographs shown are for representation of the floor plan and finishes.",,565000,Condo/Townhome/Row Home/Co-Op,1266,PA,,,,,,,19123
1919 Chestnut St Apt 803,Philadelphia,1,2,Philadelphia,"1, 134 Square Foot North facing 2-Bedroom 1 bath unit with TONS of closet space at the William Penn House. Endless possibilities for the next owner to create their perfect haven. 24-hour secruity and Doorperson, on-site management and maintenance, Rooftop Pool and ONE CAR PARKING (valet) for only $80 per month! This is a Cooperative. The monthly fee includes all utilities which includes electric, heat, air conditioning, water and basic cable. All Real Estate Taxes INCLUDED in monthly fee. Washer and Dryer in unit. Close to all Rittenhouse has to offer with restaurants, shops and transportation. Around the corner from the financial district and minutes from Drexel, Penn and 30th Street Station.",1,315000,Condo/Townhome/Row Home/Co-Op,1134,PA,,,,,,1965,19103
23739 E Wister St,Philadelphia,,,Philadelphia,"Incredible opportunity to create a cash cow in Germantown! The size of the home and lot are awesome with the property exceeding 5, 500 sq ft (above ground) and the lot is over 235 feet deep and 40 feet wide. Conveniently located just off Germantown Ave and the Blvd, close to shopping, public transit and major highways, and only a 10 minute walk to LaSalle University.This detached home spans 3 stories, plus a full basement and on the rear of the property sits a second structure/ 2+ car garage with a loft space above. Let your imagination run wild with all the awesome possibilities you can create not to mention the enormous yard. The property is in a shell condition with the major demolition complete already so it is ready to be put back together again and turned into the masterpiece that is possible.Previously the home was set up as a quadplex, with unit 1 on the first floor, unit 2 and 3 on the 2nd floor and the 4th unit on the 3rd floor. The home can be utilized in many ways including a massive single family with potential for an inlaw suite, home office, or so many other uses with all the space.The best use could maybe be as a Triplex with 2 units, each with 3 bedrooms and the 3rd unit with 2 bedrooms for a total of 8 bedrooms. Then there is still the additional potential of the basement as well as the detached garage/carriage house.Please see videos for additional information.Schedule your showing today, before this awesome project is taken by someone else.Note: Seller and Sellers agent do not make any claims regarding zoning and Buyer is responsible for confirming approved uses on their own.",2,199990,Multi-Family Home,5580,PA,,,,,,1900,19144
3028-3032 Collins St,Philadelphia,2.5,2,Philadelphia,"Two Property Package Offering! WOW - Just WOW! Being offered here are two adjacent properties. 3028 Collins St (tax id: 252432400 / RSA5) is a Shell Condition single family home ready for rehab! The home is ready for 2 beds and 2 baths - it is 1260 Sq Ft. Lot size is 1, 068 sq ft (20' x 53'). 3030-3032 Collins St (AKA - 3031-3033 Amber St - tax id: 252439300 / RSA5) is a LARGE - Street to Street parcel with a HUGE open warehouse (no photos of interior avail at this time). The lot size is 30' x 101' - and offers a large open rear yard - potential for development - or just enjoy the outdoor space. These opportunities are RARE - do not delay!",4,325000,Condo/Townhome/Row Home/Co-Op,3300,PA,,,,,,1920,19134
20010 Lombard St Unit 636,Philadelphia,1.5,1,Philadelphia,"Stunning1 bedroom 1.5 bathroom condominium home located in Abbotts Square in charming Head House Square in Society Hill! Light filled and spacious 824 square foot home featuring a renovated kitchen with granite counter tops & stainless steel appliance and a loved balcony deck with great views! Newer hardwood floors throughout. The master bedroom suite has a large walk-in closet and its own private master bathroom. Extra closet space in the unit and washer dryer included.Abbotts Square Condominiums has 24-hour front desk security, fitness center and an on-site garage for additional fee. Walk out your front door to a world of fabulous shops and restaurants with very easy access to I-95 and the airport.",,295000,Condo/Townhome/Row Home/Co-Op,824,PA,,,,,,1990,19147
210117 Chestnut St Unit 1010,Philadelphia,1,1,Philadelphia,"LOCATION, LOCATION, LOCATION! - This deluxe one bedroom condominium is not to be missed! This home boasts gleaming floors, generous closet space and expansive windows offering an abundance of light . The gourmet kitchen is updated and features wood cabinets, all stainless appliances and a convenient kitchen peninsula. The spa-like bathroom showcases beautiful tile flooring and wall surround, a designer sink bowl with storage vanity, and chrome fixtures. Condo fees include ALL UTILITIES (gas, water, and electricity), basic cable TV, building insurance, on-site maintenance, a state-of-the-art fitness center, and 24 hour lobby attendant. Onsite public garage parking is also available for an additional monthly fee. Close to restaurants, shopping, theaters, and public transportation, this pet-friendly condo at Riverwest is in the center of it all. The campuses of Penn and Drexel, 30th Street Station and major hospitals are all just minutes away.",,179900,Condo/Townhome/Row Home/Co-Op,538,PA,,,,,,1900,19103
4000 Gypsy Ln Unit 202,Philadelphia,1,2,Philadelphia,"EZ- Living Sought After TOP FLOOR Gypsy Lane 2 Bedroom END UNIT Condominium. Welcome to unit 202, recently refreshed this unit is ready  for occupancy.   Graced with natural light because this is an end-unit this condominium, offers a spacious and open floorplan.  Welcome Home Start with the light filled foyer that welcomes you and your guests home. The large living room is also open and airy, and transitions into the dining area.  This room can multi-task as a casual spot to sit and watch TV or section it off, for transitional work at home space.  Off this area there is a small cozy room great for an additional bedroom, office, den, work out area, this comes complete with ample closet space.  The kitchen features, miles of countertop work space, an abundance of cabinetry and newer appliances.  The bedroom is large, features wall to wall carpeting, double closets and is steps away from the full hall bath.  This room is also convenient to the stackable washer and dryer laundry closet.  This gated community offers a gym, tennis courts, dog walking paths, bar-b-que stations, pool, & peaceful atmosphere.  Yet you are close to all major thoroughfares, center city, manayunk, fairmount park, the Art Museum you name it you are near it.  Plenty of parking ....",,149000,Condo/Townhome/Row Home/Co-Op,898,PA,,,,,,1970,19129
4947 Rusk St,Houston,2.5,3,Houston,"Come join us as we present urban bungalows in a patio-home style to east downtown, giving a nod to the existing early 20th century Arts & Craft, mission style architecture peppered throughout historic Eastwood. FIRST FLOOR LIVING with all BEDROOMS UP in these wonderful 2 story, freestanding homes! Convenient to downtown, east village, Med Center, University of Houston, and all of the freeways!",2,474900,Single Family Home,2490,TX,,,,,,2020,77023
1215C Hickory St,Houston,3.5,3,Houston,"LAST FLOORPLAN OF THIS STYLE (a future buyer favorite)!!! ELEVATOR CAPABLE, GUEST SUITE, 18x7 covered balcony! Gated community featuring contemporary architecture and a private dog park. Award Winning InTown Homes introduces one of it's newer developments in the historic First Ward/Arts District. Blocks away from the heart of Downtown and MetroRail access, exciting new Post HTX and East River developments, and tons of restaurants and bars! Take advantage of early pricing as the Lower Heights District booms! 12ft ceilings and great energy efficient features - tankless water heater, radiant barrier, 16-SEER A/C with 3 separate zones and 2x6 exterior framing. Kitchen boasts luxury Fisher&Paykel commercial grade appliances and soft-close custom cabinetry. Epic 10ft sliding glass doors open your living space to your balcony and allow for TONS of natural light. Master suite boasts cool sloped ceilings and TWO walk-in closets! Make an appointment TODAY - READY FOR MOVE IN BY MID-DECEMBER",2,439900,Condo/Townhome/Row Home/Co-Op,2153,TX,,,,,,2020,77007
1945 Vermont St,Houston,3.5,3,Houston,"Don't miss out on this gorgeous property in the much sought-after neighborhood of Hyde Park at River Oaks. This lovely 3 bedroom/3.5 bathrooms single-family home is perfect for entertaining with an open living room and dining room area that is bright and airy. Feel right at home with a chef's style kitchen with top-of-the-line appliances and ample cabinet space. This transitional style home was updated with dark hardwood floors, porcelain tile floors, new spa-like bathrooms with Carrera marble, and a wrought iron privacy/security gate. Excellent storage with 4 walk-in closets. Walk to River Oaks theater, shopping, restaurants, and more! Never Flooded! Call NOW! Will not last!",2,569000,Single Family Home,2410,TX,11643,13501,12854,12875,10843,1995,77019
15415 Jewel Lake Ln,Houston,2.5,4,Houston,"Gorgeous designer home located in the gated community of Lakewood Pines. The owner is an interior designer so no updates will be needed, it is move-in ready and will not last long. Chefs dream kitchen that offers beautiful quartz counters, breakfast bar, SS appliances, upgraded light fixtures and white cabinets which is open to the family room that has an added in electric fireplace. Escape to the large master suite that has high ceilings and a continuation of natural light by the floor to ceiling windows. Master Bath retreat has double sinks, vanity area, large walk-in shower, soaker tub, and walk-in closet. Home also has large secondary bedrooms/closets. Beautiful wood flooring through out the home, ship-lap, and every room is customized through out. Step outside under you covered patio with the backyard big enough for pool, swing-set, and/or garden. This home is straight out of a magazine, the pictures do not do it justice. Schedule a showing today.",2,379900,Single Family Home,2956,TX,,1271,1507,11468,9903,2017,77044
12922 Silverbank Run Dr,Houston,2.5,4,Humble,"Beautiful New 2 story home with 4 full bedrooms and 2.5 bath rooms.Open family room. Kitchen has 42 inch cabinets, granite counter tops, under mount sink, stainless steel appliances. Master bath has dual sinks, and separate tub and shower. a 750-acre planned community offering a crystal-clear lagoon surrounded by white sand beaches, hammocks & cabanas, an infinity pool, splash pad, sand volleyball, lakes, parks, walking trails and so much more!",2,218855,Single Family Home,1611,TX,,,,,,2020,77346
1211B Hickory St,Houston,3.5,3,Houston,"Beautiful freestanding home with fenced in site patio + back yard in the booming First Ward/Lower Heights District! The living area boasts soaring 12-ft ceilings, engineered white oak wood floors, and epic 10-ft sliding glass doors that open out from your living room to over-sized balcony with gas/water hookup. Chic modern architecture gives the community impressive curb appeal, you'll love having guests over. Chef's kitchen features stainless steel Fisher&Paykel appliances, prep-island, double trash-bin, and custom high quality soft close cabinetry. Primary Suite is spacious with 12-ft ceilings and spa-like bath featuring a 6-ft soaking tub, huge walk-in shower and enormous closet with shelving. Come be a part of the exciting Arts District with Sawyer Yards just a 3 minute drive away (restaurants/bars/shoppes/pop-up markets). Buffalo Bayou & White Oak Trails accessed via Houston Avenue. Zoned to highly rated Crockett Elementary. 3 MONTHS OUT FROM COMPLETION!",2,427000,Single Family Home,2095,TX,,,,,,2020,77007
1820 Pine Village Dr,Houston,2,4,Houston,"Duplex Located in the heart of Spring Branch, nestled among a residential area with large oak trees. Each unit of this duplex is 1148 Square feet. Total of 2296 with both units combined. Each unit has it own garage and its own fenced patio area. As well they have a front yard or a side yard for outdoor enjoyment. The units mirror each other in floor plan. The front unit has parquet floors and carpet, the back unit has tile and carpet. The floor plan includes 2 bedrooms, 1 bath, laundry room, dining, kitchen and one car garage. Front leases for $900, Back leases for $700. Utilities paid by tenants.",,334999,Condo/Townhome/Row Home/Co-Op,1148,TX,8020,7682,8297,8627,8642,1960,77080
10746 Nathaniel Valley Path,Houston,2,3,Houston,This home features a patio and luxury master bathroom.,2,207462,Single Family Home,1486,TX,,,,,,2020,77016
1657 Upland Lks,Houston,3.5,3,Houston,"Easy lifestyle in a great location! This move-in ready property is close to great schools, fabulous shopping, entertainment and wonderful dining.It is right off of I-10 and Beltway 8 within a few minutes from City Centre Houston. The open concept living/kitchen area are conveniently located on the second level.The home also includes a full 2 car garage and driveway. Beautiful iron railing and stucco accent the home's exterior.Upland Lakes is a quaint gated community nicely tucked away in a beautiful setting of fountains and trees. Take a break from city life. Enjoy special amenities such as a community pool, walking trails and ponds in this easy to maintain home.The beautiful wood floors, tasteful light fixtures and fabulous tile give this home a modern, cozy and comfortable atmosphere.There is a great backyard for nights of grilling or just relaxing outside enjoying a nice conversation on a beautiful evening. Home did not flood.Room sizes are approx please verify.",2,380000,Single Family Home,2443,TX,9104,9958,10945,11174,10044,2012,77043
7734 Navaeh Crest Path,Houston,2,3,Houston,,2,207462,Single Family Home,1486,TX,,,,,,2020,77016
1311 Afton St,Houston,2.5,3,Houston,"This beautiful 2 story home is located in Afton Village and is zoned to award-winning Spring Branch ISD. The current owner designed a dreamy custom kitchen with white cabinetry, granite counters, a wine fridge, and stainless steel appliances. The light-filled first floor has high ceilings and a wall of windows overlooking the landscaped back yard and heated pool. The design is perfect for entertaining family and friends both indoors and out. Hardwood floors run seamlessly throughout the home including the entire first floor, the master suite, game room, and one of the secondary bedrooms. This home is a joy to show and will impress the most discerning buyer.",2,550000,Single Family Home,2641,TX,15021,14389,13214,14187,13106,2013,77055
15702 Falmouth Dr,Houston,2.5,4,Houston,"Beautifully updated home on a corner lot in charming Brook Forest. This home is made for entertaining and has been beautifully updated though out. The home features - private pool, double staircases, granite counters, coffee/dry bar, stainless steel appliances, window shutters in primary bedroom and kitchen, updated carpet, wood and tile through out home. All bedrooms are upstairs along with a massive gameroom that has its own entrance off the back of the home. Backyard features a sparkling pool with a diving board and beautiful landscape. Call today to schedule your private tour!",2,409999,Single Family Home,3439,TX,7281,7968,8265,8277,8303,1979,77059
4211 Purdue St Unit A,Houston,3.5,4,Houston,"Modern Town House in West U area is an entertainers dream! High ceilings, exposed trusses, custom metal and wood stairs offer an industrial modern charm. First floor is two bedrooms with a shared bathroom, and access to back yard. Garage has plenty of storage! 2nd Floor offers an Open living/dining plan with floor to ceiling windows overlooking large balcony off the living room. Kitchen with island and gas cooktop, refrigerator included. Small patio off the kitchen for grilling. 3rd Floor features Master suite, a secondary bedroom with en suite bath, and laundry room in between. 4th level is the Rooftop Deck! Lots of natural light. Schedule your tour today! NEW HVAC!",2,675000,Condo/Townhome/Row Home/Co-Op,3328,TX,,,,,,2003,77005
2217 Padron Pl,Houston,3.5,4,Houston,"ALMOST MOVE-IN READY - Estimated Completion ~60 days. Everything you want in a 4 bedroom floor plan. Set your standards at La Sierra with this exclusively gated community featuring a stunning lake with water features, gazebo, dog park, walking trails, double wide streets with guest parking, private driveways, backyards & more! Fully gated, this is your tranquil and modern escape near the city. Easy access to 610, 290 & I45, minutes from the Heights, Galleria, Spring or downtown Houston. The EMINA floor plan offers a first floor Master suite, living/dining and kitchen on the first floor with 3 bedrooms plus a bonus area upstairs. The interior is Euro style with flat faced cabinets with under mount lighting, wood grained porcelain tile flooring, recessed lighting & plenty of natural light! Bosch appliances, high style back splash, extra large sink & pull down faucet create a luxurious touch to your over 2, 700 square foot home. Model home: 2219 Padron Place",2,395000,Single Family Home,2777,TX,,298,788,509,550,2020,77091
10906 Archmont Dr,Houston,2.5,4,Houston,"Don't miss this conveniently located two-story 4/5 bedroom home in the community of Norchester, with downstairs master, separate dining area, large back yard and beautiful pool. A/C replaced and 2nd unit added for efficiency and temperature regulation, and new tankless water heater installed. Pool repairs/service have already been done as well. Conveniently located in close proximity to major freeways, shopping and restaurants, this spacious home is ready for you!",2,280000,Single Family Home,2726,TX,5493,5420,5898,3839,4081,1970,77070
